,City,Country Code,City_Number,Lat,Lng,Temp_F,Humidity (%),Cloudiness (%),Wind Speed (mph)
87,bambous virieux,mu,1106677,-20.34,57.76,77.92,78.0,20.0,7.4
88,upernavik,gl,3418910,72.79,-56.15,14.03,100.0,44.0,19.04
89,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
90,hermanus,za,3366880,-34.42,19.24,66.34,79.0,20.0,8.99
91,ouadda,cf,236901,8.07,22.4,87.29,31.0,8.0,5.73
92,lebu,cl,3883457,-37.62,-73.65,58.13,87.0,0.0,22.62
93,esil,kz,1524296,51.96,66.41,38.69,85.0,76.0,9.98
94,iqaluit,ca,5983720,63.75,-68.52,-4.69,70.0,90.0,29.97
95,new norfolk,au,2155415,-42.78,147.06,58.19,62.0,0.0,8.05
96,lompoc,us,5367788,34.64,-120.46,60.87,72.0,40.0,5.17
97,barrow,us,4252975,39.51,-90.4,55.06,64.0,90.0,16.11
98,puerto leguizamo,co,3671437,-0.19,-74.78,80.36,86.0,80.0,3.38
99,albany,au,2077963,-35.02,117.88,59.0,93.0,75.0,9.17
100,taolanaro,mg,,,,,,,
101,santa cruz de tenerife,es,2511174,28.47,-16.25,60.82,100.0,75.0,6.93
102,rikitea,pf,4030556,-23.12,-134.97,75.68,100.0,92.0,15.79
103,bethel,us,5880568,60.79,-161.76,27.52,100.0,1.0,8.05
104,aneho,tg,2367990,6.23,1.6,87.8,79.0,20.0,11.41
105,adet,et,345353,11.26,37.49,63.35,60.0,8.0,1.36
106,port antonio,jm,3489005,18.18,-76.45,86.0,58.0,20.0,6.93
107,albany,au,2077963,-35.02,117.88,59.0,93.0,75.0,9.17
108,castro,cl,3896218,-42.48,-73.76,59.0,67.0,75.0,8.05
109,baft,ir,390054,29.23,56.61,44.09,80.0,88.0,5.5
110,khatanga,ru,2022572,71.98,102.47,19.7,92.0,68.0,6.73
111,carnarvon,au,2074865,-24.87,113.63,77.0,78.0,12.0,11.41
112,karratha,au,6620339,-20.74,116.85,71.27,89.0,0.0,3.04
113,shingu,jp,1847947,33.72,135.99,47.69,100.0,12.0,16.46
114,avarua,ck,4035715,-21.21,-159.78,78.8,83.0,8.0,18.34
115,haibowan,cn,,,,,,,
116,komsomolskiy,ru,1486910,67.55,63.78,23.48,85.0,88.0,12.77
117,wahpeton,us,5062355,46.27,-96.61,38.35,80.0,90.0,17.22
