,City,Country Code,City_Number,Lat,Lng,Temp_F,Humidity (%),Cloudiness (%),Wind Speed (mph)
381,clyde river,ca,5924351,70.47,-68.59,3.2,84.0,90.0,32.21
382,kapaa,us,5848280,22.08,-159.32,68.52,78.0,75.0,10.29
383,san patricio,mx,3985168,19.22,-104.7,82.4,78.0,5.0,11.41
384,saint george,bm,3573061,32.38,-64.68,68.0,77.0,75.0,20.8
385,san cristobal,ec,3652567,-1.02,-79.44,67.31,100.0,76.0,3.15
386,cururupu,br,3401148,-1.82,-44.87,80.9,100.0,36.0,5.17
387,saint george,bm,3573061,32.38,-64.68,68.0,77.0,75.0,20.8
388,esperance,au,2071860,-33.86,121.89,59.0,87.0,90.0,8.05
389,bengkulu,id,,,,,,,
390,amderma,ru,,,,,,,
391,ingham,au,2162737,-18.65,146.16,78.56,96.0,88.0,16.13
392,rio gallegos,ar,3838859,-51.62,-69.22,60.8,51.0,40.0,21.92
393,cabcab,ph,1721660,13.63,124.05,76.22,100.0,36.0,7.18
394,new norfolk,au,2155415,-42.78,147.06,58.19,62.0,0.0,8.05
395,paamiut,gl,3421193,61.99,-49.67,34.73,87.0,92.0,55.27
396,busselton,au,2075265,-33.64,115.35,58.24,44.0,0.0,22.28
397,bubaque,gw,2374583,11.28,-15.83,87.56,77.0,0.0,13.11
398,uvat,ru,1487939,59.14,68.9,28.34,74.0,8.0,7.07
399,khatanga,ru,2022572,71.98,102.47,19.7,92.0,68.0,6.73
400,nome,us,4732862,30.04,-94.42,62.33,44.0,1.0,4.94
401,vaini,to,4032243,-21.2,-175.2,75.2,83.0,20.0,8.05
402,tasiilaq,gl,3424607,65.61,-37.64,23.0,85.0,90.0,20.8
403,lagoa,pt,2267254,37.14,-8.45,63.73,77.0,20.0,9.17
404,illoqqortoormiut,gl,,,,,,,
405,upernavik,gl,3418910,72.79,-56.15,14.03,100.0,44.0,19.04
406,fonte boa,br,3664207,-2.51,-66.09,81.44,97.0,88.0,5.73
407,saskylakh,ru,2017155,71.97,114.09,23.39,85.0,80.0,4.05
408,ancud,cl,3899695,-41.87,-73.83,59.0,67.0,75.0,8.05
409,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
410,lebu,cl,3883457,-37.62,-73.65,58.13,87.0,0.0,22.62
411,eyl,so,60019,7.98,49.82,77.3,100.0,0.0,5.61
412,mangan,in,1263776,27.5,88.54,23.84,61.0,0.0,2.59
413,atuona,pf,4020109,-9.8,-139.03,81.98,100.0,0.0,12.21
414,albany,au,2077963,-35.02,117.88,59.0,93.0,75.0,9.17
415,orumiyeh,ir,121801,37.55,45.08,46.4,68.0,40.0,9.17
416,bredasdorp,za,1015776,-34.53,20.04,63.0,79.0,36.0,8.99
417,tiksi,ru,2015306,71.64,128.87,4.94,75.0,48.0,2.37
418,berlevag,no,780687,70.86,29.09,29.82,100.0,75.0,9.17
419,barentsburg,sj,,,,,,,
420,bati,et,342641,11.19,40.02,75.59,64.0,44.0,3.6
421,rikitea,pf,4030556,-23.12,-134.97,75.68,100.0,92.0,15.79
422,iqaluit,ca,5983720,63.75,-68.52,-4.69,70.0,90.0,29.97
423,ribeira grande,pt,3372707,38.52,-28.7,60.8,59.0,20.0,13.87
424,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
425,bethel,us,5880568,60.79,-161.76,27.52,100.0,1.0,8.05
426,nikolskoye,ru,546105,59.7,30.79,35.51,55.0,0.0,4.47
427,bondo,cd,218253,3.81,23.69,85.13,58.0,36.0,3.15
428,vaini,to,4032243,-21.2,-175.2,75.2,83.0,20.0,8.05
429,jubayl,lb,,,,,,,
430,bull savanna,jm,3491161,17.89,-77.59,82.7,62.0,76.0,3.15
431,ambon,id,1651531,-3.7,128.18,78.98,100.0,40.0,4.7
432,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
433,attawapiskat,ca,,,,,,,
434,saleaula,ws,,,,,,,
435,bethel,us,5880568,60.79,-161.76,27.52,100.0,1.0,8.05
436,burnie,au,2173125,-41.05,145.91,50.52,90.0,88.0,1.99
437,manati,cu,,,,,,,
438,busselton,au,2075265,-33.64,115.35,58.24,44.0,0.0,22.28
439,rikitea,pf,4030556,-23.12,-134.97,75.68,100.0,92.0,15.79
440,atar,mr,2381334,20.52,-13.05,69.92,83.0,92.0,10.54
441,butte,us,5642934,46.01,-112.54,38.55,59.0,1.0,2.93
442,iqaluit,ca,5983720,63.75,-68.52,-4.69,70.0,90.0,29.97
443,barentsburg,sj,,,,,,,
444,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
445,dikson,ru,1507390,73.51,80.55,23.12,98.0,32.0,26.19
446,atuona,pf,4020109,-9.8,-139.03,81.98,100.0,0.0,12.21
447,hilo,us,5855927,19.71,-155.08,67.84,72.0,40.0,5.82
448,barrow,us,4252975,39.51,-90.4,55.06,64.0,90.0,16.11
449,taolanaro,mg,,,,,,,
450,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
451,florianopolis,br,3463237,-27.6,-48.55,84.29,54.0,0.0,12.75
452,salalah,om,286621,17.01,54.1,80.6,74.0,20.0,6.93
453,taolanaro,mg,,,,,,,
454,kaoma,zm,913323,-14.8,24.8,75.14,37.0,0.0,6.4
455,padang,id,1633419,-0.92,100.36,84.05,100.0,24.0,4.61
456,huanren,cn,2036713,41.26,125.37,16.82,72.0,0.0,2.15
457,castro,cl,3896218,-42.48,-73.76,59.0,67.0,75.0,8.05
458,ca mau,vn,1586443,9.18,105.15,75.59,100.0,0.0,7.74
459,albany,au,2077963,-35.02,117.88,59.0,93.0,75.0,9.17
460,qaanaaq,gl,3831208,77.48,-69.36,-0.46,74.0,0.0,8.41
461,tuktoyaktuk,ca,6170031,69.44,-133.03,-0.41,77.0,40.0,10.29
462,qaanaaq,gl,3831208,77.48,-69.36,-0.46,74.0,0.0,8.41
463,vaini,to,4032243,-21.2,-175.2,75.2,83.0,20.0,8.05
464,torbay,ca,6167817,47.66,-52.73,37.53,37.0,20.0,29.97
465,puerto ayora,ec,3652764,-0.74,-90.35,83.88,70.0,20.0,10.29
466,hilo,us,5855927,19.71,-155.08,67.84,72.0,40.0,5.82
467,barentsburg,sj,,,,,,,
468,komsomolskiy,ru,1486910,67.55,63.78,23.48,85.0,88.0,12.77
469,barrow,us,4252975,39.51,-90.4,55.06,64.0,90.0,16.11
470,lebu,cl,3883457,-37.62,-73.65,58.13,87.0,0.0,22.62
471,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
472,cabo san lucas,mx,3985710,22.89,-109.91,78.75,16.0,5.0,8.52
473,nizhneyansk,ru,,,,,,,
474,hobart,au,2163355,-42.88,147.33,58.19,62.0,0.0,8.05
475,coihaique,cl,3894426,-45.58,-72.07,58.93,55.0,40.0,6.93
476,tooele,us,5783695,40.53,-112.3,51.13,71.0,90.0,17.22
477,imphal,in,1269771,24.8,93.94,59.21,97.0,92.0,1.48
478,tsabong,bw,932987,-26.02,22.4,72.8,60.0,48.0,6.62
479,yangambi,cd,203717,0.77,24.47,86.12,55.0,0.0,4.38
480,rikitea,pf,4030556,-23.12,-134.97,75.68,100.0,92.0,15.79
481,carnarvon,au,2074865,-24.87,113.63,77.0,78.0,12.0,11.41
482,cape town,za,3369157,-33.93,18.42,67.53,49.0,0.0,11.41
483,busselton,au,2075265,-33.64,115.35,58.24,44.0,0.0,22.28
484,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
485,saleaula,ws,,,,,,,
486,mahajanga,mg,1062663,-15.72,46.32,82.4,83.0,20.0,4.7
487,jamestown,sh,3370903,-15.94,-5.72,77.21,99.0,92.0,16.13
488,belushya guba,ru,,,,,,,
489,mataura,pf,,,,,,,
490,cartagena del chaira,co,3792382,1.33,-74.84,80.9,82.0,80.0,2.93
491,chuy,uy,3443061,-33.69,-53.46,80.9,82.0,32.0,7.4
492,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
493,ferrol,es,3123493,43.48,-8.23,53.49,66.0,40.0,10.29
494,lagoa,pt,2267254,37.14,-8.45,63.73,77.0,20.0,9.17
495,fortuna,us,5563839,40.6,-124.16,53.65,100.0,90.0,11.41
496,buala,sb,2109528,-8.15,159.59,77.75,100.0,92.0,6.06
497,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
498,katherine,au,2068655,-14.47,132.26,75.2,73.0,48.0,4.7
499,sur,om,286245,22.57,59.53,79.82,82.0,68.0,5.06
500,kapaa,us,5848280,22.08,-159.32,68.52,78.0,75.0,10.29
501,moerai,pf,4034188,-22.43,-151.33,80.63,93.0,36.0,14.67
502,bulgan,mn,2032201,48.81,103.53,26.99,62.0,0.0,2.59
503,mumford,gh,2297810,5.26,-0.76,85.67,68.0,32.0,10.65
504,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
505,faya,td,,,,,,,
506,okahandja,na,3354898,-21.98,16.91,62.27,83.0,12.0,2.37
507,berlevag,no,780687,70.86,29.09,29.82,100.0,75.0,9.17
508,busselton,au,2075265,-33.64,115.35,58.24,44.0,0.0,22.28
509,sibolga,id,1213855,1.74,98.78,69.29,100.0,48.0,1.7
510,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
511,hobart,au,2163355,-42.88,147.33,58.19,62.0,0.0,8.05
512,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
513,hasaki,jp,2112802,35.73,140.83,32.99,64.0,20.0,6.93
514,rikitea,pf,4030556,-23.12,-134.97,75.68,100.0,92.0,15.79
515,smithers,ca,6149996,54.78,-127.17,28.4,86.0,5.0,2.24
516,constitucion,mx,4011743,23.99,-104.67,71.01,17.0,24.0,5.01
517,hilo,us,5855927,19.71,-155.08,67.84,72.0,40.0,5.82
518,hermanus,za,3366880,-34.42,19.24,66.34,79.0,20.0,8.99
519,mar del plata,ar,3863379,-46.43,-67.52,72.62,31.0,0.0,18.81
520,nikolskoye,ru,546105,59.7,30.79,35.51,55.0,0.0,4.47
521,yumen,cn,1528998,40.29,97.04,34.01,59.0,8.0,3.71
522,mataura,pf,,,,,,,
523,bluff,nz,2206939,-46.6,168.33,44.01,91.0,56.0,11.21
524,dikson,ru,1507390,73.51,80.55,23.12,98.0,32.0,26.19
525,bluff,nz,2206939,-46.6,168.33,44.01,91.0,56.0,11.21
526,oulainen,fi,643497,64.27,24.8,37.99,68.0,0.0,18.01
527,pangnirtung,ca,6096551,66.15,-65.72,-0.41,84.0,90.0,9.17
528,vila velha,br,6320062,-3.71,-38.6,82.96,70.0,75.0,12.75
529,saint-philippe,re,935215,-21.36,55.77,75.92,61.0,0.0,4.7
530,bethel,us,5880568,60.79,-161.76,27.52,100.0,1.0,8.05
531,urucui,br,3385658,-7.23,-44.56,83.78,87.0,32.0,5.39
532,dwarka,in,1273294,28.58,77.04,85.32,34.0,0.0,4.7
533,puerto ayora,ec,3652764,-0.74,-90.35,83.88,70.0,20.0,10.29
534,mataura,pf,,,,,,,
535,atherton,au,2177541,-17.27,145.48,75.31,88.0,90.0,12.75
536,busselton,au,2075265,-33.64,115.35,58.24,44.0,0.0,22.28
537,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
538,new norfolk,au,2155415,-42.78,147.06,58.19,62.0,0.0,8.05
539,hasaki,jp,2112802,35.73,140.83,32.99,64.0,20.0,6.93
540,ola,ru,2122574,59.58,151.3,29.42,82.0,68.0,12.66
541,grand-lahou,ci,2288105,5.24,-5.0,86.75,66.0,48.0,6.73
542,kudahuvadhoo,mv,1337607,2.67,72.89,83.42,100.0,0.0,4.94
543,vaini,to,4032243,-21.2,-175.2,75.2,83.0,20.0,8.05
544,chokurdakh,ru,2126123,70.62,147.9,3.05,65.0,64.0,2.93
545,ilulissat,gl,3423146,69.22,-51.1,37.4,69.0,75.0,24.16
546,palabuhanratu,id,,,,,,,
547,bluff,nz,2206939,-46.6,168.33,44.01,91.0,56.0,11.21
548,bredasdorp,za,1015776,-34.53,20.04,63.0,79.0,36.0,8.99
549,attawapiskat,ca,,,,,,,
550,gizo,sb,2108857,-8.1,156.84,78.38,100.0,80.0,4.16
551,clyde river,ca,5924351,70.47,-68.59,3.2,84.0,90.0,32.21
552,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
553,komsomolets,kz,1522348,53.75,62.07,41.84,69.0,76.0,7.07
554,grand river south east,mu,,,,,,,
555,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
556,vila velha,br,6320062,-3.71,-38.6,82.96,70.0,75.0,12.75
557,port shepstone,za,964406,-30.74,30.45,64.97,100.0,92.0,2.48
558,isangel,vu,2136825,-19.55,169.27,80.54,100.0,48.0,15.46
559,bolshaya murta,ru,,,,,,,
560,vaini,to,4032243,-21.2,-175.2,75.2,83.0,20.0,8.05
561,tura,ru,2014833,64.27,100.22,23.75,74.0,88.0,2.48
562,port alfred,za,964432,-33.59,26.89,64.0,84.0,48.0,5.99
563,bobonong,bw,,,,,,,
564,methoni,gr,257122,36.82,21.7,59.79,71.0,20.0,11.77
565,caravelas,br,3466980,-17.73,-39.27,80.9,100.0,0.0,8.41
566,abaza,ru,1512205,52.65,90.1,46.79,81.0,92.0,8.08
567,clyde river,ca,5924351,70.47,-68.59,3.2,84.0,90.0,32.21
568,tiksi,ru,2015306,71.64,128.87,4.94,75.0,48.0,2.37
569,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
570,nelson bay,au,2155562,-32.72,152.14,60.46,93.0,12.0,5.61
571,belushya guba,ru,,,,,,,
572,palmerston,au,6301965,-12.49,130.99,78.46,88.0,76.0,2.24
573,bambous virieux,mu,1106677,-20.34,57.76,77.92,78.0,20.0,7.4
574,rikitea,pf,4030556,-23.12,-134.97,75.68,100.0,92.0,15.79
575,coihaique,cl,3894426,-45.58,-72.07,58.93,55.0,40.0,6.93
576,pundaguitan,ph,1698289,6.37,126.17,79.19,100.0,80.0,6.96
577,hermanus,za,3366880,-34.42,19.24,66.34,79.0,20.0,8.99
578,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
579,sao jose da coroa grande,br,3388456,-8.9,-35.15,81.71,90.0,88.0,8.08
580,jaisalmer,in,1269507,26.91,70.91,75.05,35.0,0.0,2.59
581,talnakh,ru,1490256,69.49,88.39,17.0,72.0,48.0,3.04
582,bluff,nz,2206939,-46.6,168.33,44.01,91.0,56.0,11.21
583,kroderen,no,,,,,,,
584,bluff,nz,2206939,-46.6,168.33,44.01,91.0,56.0,11.21
585,meulaboh,id,1214488,4.14,96.13,80.45,100.0,48.0,4.72
586,samalaeulu,ws,,,,,,,
587,grand gaube,mu,934479,-20.01,57.66,78.3,78.0,20.0,10.09
588,louisbourg,ca,,,,,,,
589,san patricio,mx,3985168,19.22,-104.7,82.4,78.0,5.0,11.41
590,anloga,gh,2304548,5.79,0.9,87.8,79.0,20.0,11.41
591,harper,lr,2276492,4.38,-7.71,86.12,96.0,12.0,8.19
592,kununurra,au,2068110,-15.77,128.74,77.0,36.0,20.0,8.05
593,georgetown,sh,2411397,-7.93,-14.42,81.08,100.0,88.0,15.01
594,lichinga,mz,1043893,-13.3,35.25,70.55,79.0,20.0,5.95
595,grand river south east,mu,,,,,,,
596,rikitea,pf,4030556,-23.12,-134.97,75.68,100.0,92.0,15.79
597,roberto payan,co,,,,,,,
598,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
599,nouadhibou,mr,2377457,20.93,-17.03,69.8,64.0,20.0,6.93
600,portland,au,2152668,-33.35,149.98,51.01,98.0,0.0,1.01
601,fortuna,us,5563839,40.6,-124.16,53.65,100.0,90.0,11.41
602,vaini,to,4032243,-21.2,-175.2,75.2,83.0,20.0,8.05
603,edd,er,338345,13.93,41.69,77.84,69.0,0.0,5.06
604,snezhnogorsk,ru,795243,69.19,33.23,39.2,60.0,75.0,4.47
605,uthal,pk,1162862,25.81,66.62,70.37,90.0,0.0,5.17
606,beyneu,kz,610298,45.32,55.19,48.14,97.0,92.0,13.56
607,albany,au,2077963,-35.02,117.88,59.0,93.0,75.0,9.17
608,narsaq,gl,3421719,60.91,-46.05,42.8,60.0,75.0,34.45
609,sioux lookout,ca,6148373,50.1,-91.92,32.0,60.0,40.0,13.87
610,atuona,pf,4020109,-9.8,-139.03,81.98,100.0,0.0,12.21
611,lompoc,us,5367788,34.64,-120.46,60.87,72.0,40.0,5.17
612,airai,pw,,,,,,,
613,cherskiy,ru,2126199,68.75,161.3,28.97,81.0,92.0,7.4
614,arraial do cabo,br,3471451,-22.97,-42.02,83.55,45.0,20.0,5.82
615,cape town,za,3369157,-33.93,18.42,67.53,49.0,0.0,11.41
616,khandyga,ru,2022773,62.65,135.58,4.22,60.0,0.0,2.37
617,mys shmidta,ru,,,,,,,
618,bredasdorp,za,1015776,-34.53,20.04,63.0,79.0,36.0,8.99
619,lagoa,pt,2267254,37.14,-8.45,63.73,77.0,20.0,9.17
620,bluff,nz,2206939,-46.6,168.33,44.01,91.0,56.0,11.21
621,hilo,us,5855927,19.71,-155.08,67.84,72.0,40.0,5.82
622,kapoeta,sd,,,,,,,
623,angoche,mz,1052944,-16.23,39.91,79.19,100.0,68.0,15.12
624,maraa,br,3663475,-1.83,-65.37,84.77,83.0,88.0,4.05
625,villazon,bo,,,,,,,
626,egvekinot,ru,4031742,66.32,-179.17,16.1,75.0,56.0,2.37
627,meulaboh,id,1214488,4.14,96.13,80.45,100.0,48.0,4.72
628,qaanaaq,gl,3831208,77.48,-69.36,-0.46,74.0,0.0,8.41
629,candido mota,br,3467542,-22.75,-50.39,86.75,55.0,12.0,4.72
630,rikitea,pf,4030556,-23.12,-134.97,75.68,100.0,92.0,15.79
631,taolanaro,mg,,,,,,,
632,bathsheba,bb,3374083,13.22,-59.52,86.0,55.0,20.0,26.4
633,grand river south east,mu,,,,,,,
634,vaini,to,4032243,-21.2,-175.2,75.2,83.0,20.0,8.05
635,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
636,tuktoyaktuk,ca,6170031,69.44,-133.03,-0.41,77.0,40.0,10.29
637,taoudenni,ml,2450173,22.68,-3.98,89.99,17.0,8.0,9.08
638,juegang,cn,1804979,32.31,121.18,56.79,64.0,92.0,5.17
639,chokurdakh,ru,2126123,70.62,147.9,3.05,65.0,64.0,2.93
640,alindao,cf,240999,5.04,21.21,82.07,62.0,0.0,5.61
641,nouadhibou,mr,2377457,20.93,-17.03,69.8,64.0,20.0,6.93
642,durango,us,5420241,37.28,-107.88,51.98,42.0,1.0,3.36
643,arraial do cabo,br,3471451,-22.97,-42.02,83.55,45.0,20.0,5.82
644,mount pleasant,us,4588165,32.79,-79.86,46.36,81.0,1.0,11.41
645,xai-xai,mz,1024552,-25.04,33.64,73.7,100.0,92.0,19.82
646,isangel,vu,2136825,-19.55,169.27,80.54,100.0,48.0,15.46
647,port elizabeth,za,964420,-33.92,25.57,64.4,77.0,75.0,14.99
648,sembakung,id,1627877,3.82,117.25,75.68,96.0,36.0,1.36
649,rocha,uy,3440777,-34.48,-54.34,82.16,70.0,44.0,7.18
650,new norfolk,au,2155415,-42.78,147.06,58.19,62.0,0.0,8.05
651,vaini,to,4032243,-21.2,-175.2,75.2,83.0,20.0,8.05
652,yuci,cn,1785974,37.68,112.73,48.2,31.0,0.0,8.95
653,butaritari,ki,2110227,3.07,172.79,77.21,100.0,76.0,6.06
654,hithadhoo,mv,1282256,-0.6,73.08,84.59,100.0,32.0,7.4
655,necochea,ar,3430443,-38.55,-58.74,73.25,61.0,0.0,20.71
656,lagoa,pt,2267254,37.14,-8.45,63.73,77.0,20.0,9.17
657,kunzelsau,de,2882439,49.28,9.69,62.2,27.0,0.0,16.11
658,rikitea,pf,4030556,-23.12,-134.97,75.68,100.0,92.0,15.79
659,mouila,ga,2398073,-1.86,11.06,76.4,97.0,80.0,0.36
660,hermanus,za,3366880,-34.42,19.24,66.34,79.0,20.0,8.99
661,saint-pierre,re,935214,-21.34,55.48,75.88,61.0,0.0,4.7
662,yaan,cn,,,,,,,
663,hermanus,za,3366880,-34.42,19.24,66.34,79.0,20.0,8.99
664,oktyabrskoye,ru,1511846,56.73,85.44,34.93,64.0,0.0,4.47
665,saldanha,za,3361934,-33.01,17.94,65.6,51.0,0.0,11.54
666,hermanus,za,3366880,-34.42,19.24,66.34,79.0,20.0,8.99
667,belushya guba,ru,,,,,,,
668,kamenskoye,ru,,,,,,,
669,cuxhaven,de,2939658,53.87,8.7,53.35,66.0,75.0,11.41
670,mataura,pf,,,,,,,
671,airai,pw,,,,,,,
672,kyra,ru,2021041,49.58,111.97,17.72,67.0,0.0,2.93
673,bassila,bj,2395261,9.0,1.66,90.89,41.0,20.0,4.16
674,laguna,br,,,,,,,
675,bredasdorp,za,1015776,-34.53,20.04,63.0,79.0,36.0,8.99
676,mys shmidta,ru,,,,,,,
677,kapaa,us,5848280,22.08,-159.32,68.52,78.0,75.0,10.29
678,vaini,to,4032243,-21.2,-175.2,75.2,83.0,20.0,8.05
679,qaanaaq,gl,3831208,77.48,-69.36,-0.46,74.0,0.0,8.41
680,avarua,ck,4035715,-21.21,-159.78,78.8,83.0,8.0,18.34
681,hobyo,so,57000,5.35,48.53,79.37,90.0,32.0,8.52
682,thompson,ca,6165406,55.74,-97.86,12.2,66.0,75.0,11.41
683,atuona,pf,4020109,-9.8,-139.03,81.98,100.0,0.0,12.21
684,albany,au,2077963,-35.02,117.88,59.0,93.0,75.0,9.17
685,margate,za,978895,-30.86,30.37,64.97,100.0,92.0,2.48
686,flin flon,ca,5954718,54.77,-101.88,17.6,57.0,90.0,13.87
687,ponta do sol,cv,3374346,17.2,-25.09,77.0,53.0,40.0,11.41
688,kangaatsiaq,gl,3422683,68.31,-53.46,26.72,100.0,88.0,18.14
689,meulaboh,id,1214488,4.14,96.13,80.45,100.0,48.0,4.72
690,tura,ru,2014833,64.27,100.22,23.75,74.0,88.0,2.48
691,belmonte,br,3448454,-26.84,-53.58,85.4,68.0,56.0,6.62
692,qaanaaq,gl,3831208,77.48,-69.36,-0.46,74.0,0.0,8.41
693,antofagasta,cl,3899539,-23.65,-70.4,69.8,52.0,0.0,13.87
694,payo,ph,,,,,,,
695,port elizabeth,za,964420,-33.92,25.57,64.4,77.0,75.0,14.99
696,vila do maio,cv,3374120,15.13,-23.22,77.0,57.0,40.0,18.34
697,stryn,no,3135601,61.9,6.72,41.2,42.0,20.0,9.17
698,bengkulu,id,,,,,,,
699,sisophon,kh,1822207,13.59,102.97,73.79,83.0,20.0,2.37
700,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
701,arraial do cabo,br,3471451,-22.97,-42.02,83.55,45.0,20.0,5.82
702,marsa matruh,eg,352733,31.35,27.25,60.8,67.0,0.0,5.82
703,bluff,nz,2206939,-46.6,168.33,44.01,91.0,56.0,11.21
704,barrow,us,4252975,39.51,-90.4,55.06,64.0,90.0,16.11
705,kavieng,pg,2094342,-2.57,150.8,84.14,99.0,48.0,10.65
706,portland,au,2152668,-33.35,149.98,51.01,98.0,0.0,1.01
707,qaanaaq,gl,3831208,77.48,-69.36,-0.46,74.0,0.0,8.41
708,kiunga,pg,2093846,-6.12,141.3,72.44,97.0,80.0,2.37
709,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
710,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
711,gedo,et,337083,9.01,37.45,64.07,75.0,56.0,2.71
712,samusu,ws,,,,,,,
713,norman,us,4543762,35.22,-97.44,64.36,36.0,1.0,14.99
714,kaspiyskiy,ru,551846,45.39,47.37,43.91,100.0,92.0,15.57
715,ponta do sol,cv,3374346,17.2,-25.09,77.0,53.0,40.0,11.41
716,hermanus,za,3366880,-34.42,19.24,66.34,79.0,20.0,8.99
717,tarudant,ma,,,,,,,
718,saskylakh,ru,2017155,71.97,114.09,23.39,85.0,80.0,4.05
719,ribeira grande,pt,3372707,38.52,-28.7,60.8,59.0,20.0,13.87
720,port alfred,za,964432,-33.59,26.89,64.0,84.0,48.0,5.99
721,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
722,koratla,in,1266124,18.82,78.72,80.09,47.0,56.0,12.21
723,husavik,is,2629833,66.04,-17.34,28.4,63.0,75.0,14.99
724,hakui,jp,1863341,36.89,136.78,37.8,86.0,75.0,6.93
725,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
726,puerto ayora,ec,3652764,-0.74,-90.35,83.88,70.0,20.0,10.29
727,poya,nc,2138522,-21.35,165.16,76.94,100.0,8.0,7.74
728,rikitea,pf,4030556,-23.12,-134.97,75.68,100.0,92.0,15.79
729,les cayes,ht,3728097,18.19,-73.75,78.02,100.0,64.0,9.53
730,bambous virieux,mu,1106677,-20.34,57.76,77.92,78.0,20.0,7.4
731,ilulissat,gl,3423146,69.22,-51.1,37.4,69.0,75.0,24.16
732,atambua,id,1651103,-9.11,124.89,75.23,100.0,12.0,3.38
733,holland,us,4996248,42.79,-86.11,50.95,46.0,1.0,18.34
734,severo-kurilsk,ru,2121385,50.68,156.12,30.77,99.0,88.0,18.7
735,kodiak,us,4407665,39.95,-94.76,43.29,75.0,90.0,10.29
736,east london,za,1006984,-33.02,27.91,60.8,93.0,40.0,3.36
737,castro,cl,3896218,-42.48,-73.76,59.0,67.0,75.0,8.05
738,hermanus,za,3366880,-34.42,19.24,66.34,79.0,20.0,8.99
739,olafsvik,is,,,,,,,
740,ushuaia,ar,3833367,-54.81,-68.31,51.8,62.0,20.0,23.04
741,cape town,za,3369157,-33.93,18.42,67.53,49.0,0.0,11.41
742,nizhneyansk,ru,,,,,,,
743,georgetown,sh,2411397,-7.93,-14.42,81.08,100.0,88.0,15.01
744,lethem,gy,3379316,3.38,-59.8,98.9,30.0,0.0,11.54
745,hobart,au,2163355,-42.88,147.33,58.19,62.0,0.0,8.05
746,mahebourg,mu,934322,-20.41,57.7,77.83,78.0,20.0,7.4
747,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
748,atuona,pf,4020109,-9.8,-139.03,81.98,100.0,0.0,12.21
749,kaeo,nz,2189343,-35.1,173.78,50.0,93.0,0.0,6.17
750,cidreira,br,3466165,-30.17,-50.22,83.6,76.0,20.0,2.71
751,urumqi,cn,,,,,,,
752,east london,za,1006984,-33.02,27.91,60.8,93.0,40.0,3.36
753,shaunavon,ca,6145425,49.65,-108.41,40.22,60.0,0.0,14.12
754,severo-kurilsk,ru,2121385,50.68,156.12,30.77,99.0,88.0,18.7
755,norman wells,ca,6089245,65.28,-126.83,10.4,66.0,75.0,16.11
756,sur,om,286245,22.57,59.53,79.82,82.0,68.0,5.06
757,two rivers,us,5276609,44.15,-87.57,36.93,93.0,90.0,5.82
758,busselton,au,2075265,-33.64,115.35,58.24,44.0,0.0,22.28
759,qaanaaq,gl,3831208,77.48,-69.36,-0.46,74.0,0.0,8.41
760,san patricio,mx,3985168,19.22,-104.7,82.4,78.0,5.0,11.41
761,busselton,au,2075265,-33.64,115.35,58.24,44.0,0.0,22.28
762,punta arenas,cl,3874787,-53.16,-70.91,54.55,50.0,40.0,29.97
763,sao filipe,cv,3374210,14.9,-24.5,71.9,94.0,0.0,13.44
764,khatanga,ru,2022572,71.98,102.47,19.7,92.0,68.0,6.73
765,sitio novo do tocantins,br,,,,,,,
766,sentyabrskiy,ru,,,,,,,
767,georgetown,sh,2411397,-7.93,-14.42,81.08,100.0,88.0,15.01
768,dikson,ru,1507390,73.51,80.55,23.12,98.0,32.0,26.19
